company,announcement_date,title,sentiment_label,sentiment_score,sentiment_confidence,event_importance_score
DPNB,,DPNB 16th AGM on 23 March 2026 at Conference hall of DPNB,neutral,0.0,0.9478,0.9478
DPNB,,DPNB declares 15% Dividend,neutral,0.0,0.9528,0.9528
DPNB,,DPNB - 14th AGM,neutral,0.0,0.9548,0.9548
DPNB,,DPNB - 15% Dividend,neutral,0.0,0.9342,0.9342
DPNB,,"DPNB - 13th AGM on 31st March, 2023",neutral,0.0,0.9545,0.9545
DPNB,,"DPNB - 12th AGM on 27th of April, 2022",neutral,0.0,0.9506,0.9506
DPNB,,DPNB Market Price Adjusted,neutral,0.0,0.9408,0.9408
DPNB,,DPNB Offers Bonus Shares,neutral,0.0,0.941,0.941
DPNB,,DPNB declares 15% Dividend,neutral,0.0,0.9249,0.9249
DWAL,,"DWAL Share Buyback Approved at AGM, subject to CRA Approval",neutral,0.0,0.9525,0.9525
DWAL,,DWAL 21st AGM on 10 April 2026 at Hotel Osel,neutral,0.0,0.9513,0.9513
DWAL,,DWAL declares 30% Dividend,neutral,0.0,0.9487,0.9487
DWAL,,DWAL - 19th AGM,neutral,0.0,0.9537,0.9537
DWAL,,DWAL declares 10% dividend,neutral,0.0,0.9259,0.9259
DWAL,,"DWAL-AGM on 19th April, 2023",neutral,0.0,0.9475,0.9475
DWAL,,DWAL Issues Bonus Shares,neutral,0.0,0.9479,0.9479
DWAL,,DWAL declares Bonus Shares,neutral,0.0,0.9525,0.9525
DWAL,,"DWAL - 17th AGM on 18th April, 2022",neutral,0.0,0.9496,0.9496
GICB,,"GICB Declares 20% Dividend for FY2025; Ex-Date 27 April, Record Date 28 April",neutral,0.0,0.9522,0.9522
GICB,,"GICB Approves 20% Dividend for FY2025, Subject to RMA Approval",neutral,0.0,0.9456,0.9456
GICB,,"GICB Proposes 20% Dividend for FY2025, Subject to AGM & RMA Approval",neutral,0.0,0.9522,0.9522
GICB,,GICB 13th AGM on 24 March 2026 at Conference hall of GICB,neutral,0.0,0.951,0.951
GICB,,GICB declares 15% dividend,neutral,0.0,0.9484,0.9484
KCL,,KCL 22nd AGM on 17 April 2026 at Ludrong Hotel,neutral,0.0,0.9538,0.9538
KCL,,KCL declares 5% dividend,neutral,0.0,0.9495,0.9495
KCL,,KCL - 20th AGM,neutral,0.0,0.9557,0.9557
KCL,,"KCL - 19th AGM on 29th April, 2023",neutral,0.0,0.9468,0.9468
PCAL,,"PCAL Declares 10% Dividend for FY2025; Ex-Date 1st April 2026, Record Date 2nd April 2026",neutral,0.0,0.9498,0.9498
PCAL,,"PCAL Proposes 10% Dividend for FY2025, Subject to AGM Approval",neutral,0.0,0.9507,0.9507
PCAL,,PCAL 40th AGM on 24 March 2026 at DHI Boardroom,neutral,0.0,0.9488,0.9488
PCAL,,PCAL declares 10% dividend,neutral,0.0,0.9461,0.9461
PCAL,,PCAL Rights Issue,neutral,0.0,0.9508,0.9508
PCAL,,PCAL - 38th AGM,neutral,0.0,0.9559,0.9559
PCAL,,PCAL Declared Bonus Shares,neutral,0.0,0.9148,0.9148
PCAL,,"PCAL - 37th AGM on 10th March, 2023",neutral,0.0,0.95,0.95
PCAL,,"PCAL - 36th AGM on 26th April, 2022",neutral,0.0,0.9504,0.9504
PCAL,,No Dividend for PCAL - 2020,neutral,0.0,0.9158,0.9158
RICB,2026-05-15,"RICB Declares 13.03% Dividend for FY2025; Ex-Date 21 May, Record Date 22 May",neutral,0.0,0.9447,0.9447
RICB,2024-05-08,RICB declares 35.24% Dividend,neutral,0.0,0.9529,0.9529
RICB,2023-05-17,Record Date for RICBL's Bonus Issue,neutral,0.0,0.9495,0.9495
RICB,,"RICB Approves 14.13% Dividend for FY2025, Subject to RMA Approval",neutral,0.0,0.9519,0.9519
RICB,,RICB 21st AGM on 4th April 2026 at Hotel Druk,neutral,0.0,0.9539,0.9539
RICB,,RICB declares 33.18% dividend,neutral,0.0,0.9481,0.9481
RICB,,RICB - 49th AGM,neutral,0.0,0.9551,0.9551
RICB,,"RICBL-AGM on 21st April, 2023.",neutral,0.0,0.9492,0.9492
RICB,,RICB - 47th AGM on 7th October 2022,neutral,0.0,0.9514,0.9514
RICB,,RICB - 47th AGM Postponed,neutral,0.0,0.6481,0.6481
RICB,,RICB - 47th AGM on 9th September 2022,neutral,0.0,0.9512,0.9512
RICB,,"RICB - 46th AGM on 27th September, 2021",neutral,0.0,0.949,0.949
STCB,,"STCB Declares 20% Dividend for FY2025; Ex-Date 6 April 2025, Record Date 7 April 2025",neutral,0.0,0.9511,0.9511
STCB,,STCBL 29th AGM on 30 March 2026 at STCB Board room,neutral,0.0,0.9503,0.9503
STCB,,STCB Bonus Shares,neutral,0.0,0.9551,0.9551
STCB,,STCBL - 27th AGM,neutral,0.0,0.9521,0.9521
STCB,,STCBL declares 25% Dividend,neutral,0.0,0.9404,0.9404
STCB,,"STCL - 26th AGM on 24th March, 2023",neutral,0.0,0.952,0.952
STCB,,"STCBL - 25th AGM on 15th April, 2022",neutral,0.0,0.9531,0.9531
TBL,2026-05-19,"TBL Declares 1.83% Dividend for FY2025; Ex-Date 25 May 2026, Record Date 26 May 2026",neutral,0.0,0.949,0.949
TBL,,"TBL Approves 1.83% Dividend for FY2025, Subject to RMA Approval",neutral,0.0,0.9472,0.9472
TBL,,TBL issues Bonus Share,neutral,0.0,0.9503,0.9503
TBL,,TBL - 14th AGM,neutral,0.0,0.9555,0.9555
TBL,,TBL - 12th AGM on 28th April 2022,neutral,0.0,0.948,0.948
